epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,8557.86,0.67041,0.48478,1.25301,0.9445,0.88126,0.95089,0.70622,0.99634,0.54799,1.63302,0.000129174,0.000129174,0.000129174
65,8691.54,0.67067,0.48528,1.24139,0.92368,0.89072,0.9465,0.7088,0.99854,0.5547,1.64102,0.00011614,0.00011614,0.00011614
66,8824.93,0.66997,0.48818,1.24882,0.93985,0.89031,0.95049,0.71299,0.98456,0.55106,1.62575,0.000103792,0.000103792,0.000103792
67,8958.67,0.66542,0.48357,1.24809,0.93005,0.89085,0.9454,0.70942,0.98551,0.55197,1.62612,9.21498e-05,9.21498e-05,9.21498e-05
68,9092.52,0.67253,0.48892,1.24384,0.94583,0.88721,0.95202,0.71082,0.99669,0.55375,1.62785,8.12302e-05,8.12302e-05,8.12302e-05
69,9226.2,0.66161,0.47271,1.24279,0.94684,0.89004,0.94913,0.71643,0.99397,0.5549,1.63978,7.10504e-05,7.10504e-05,7.10504e-05
70,9360.15,0.65559,0.47006,1.23701,0.94255,0.88565,0.94953,0.71465,0.9815,0.55673,1.62614,6.16262e-05,6.16262e-05,6.16262e-05
71,9494.73,0.48567,0.25523,1.15474,0.93517,0.88679,0.94769,0.7119,0.99037,0.57172,1.65163,5.29721e-05,5.29721e-05,5.29721e-05
72,9628.32,0.47882,0.25141,1.14445,0.93324,0.9036,0.9474,0.71218,0.99664,0.566,1.66102,4.51014e-05,4.51014e-05,4.51014e-05
73,9761.76,0.47538,0.24841,1.14107,0.9356,0.89846,0.94551,0.71435,0.98683,0.56817,1.65112,3.80262e-05,3.80262e-05,3.80262e-05
74,9895.08,0.47728,0.24581,1.14364,0.94683,0.8954,0.9472,0.71233,0.99876,0.56315,1.66512,3.17576e-05,3.17576e-05,3.17576e-05
75,10028.6,0.47229,0.24661,1.13817,0.92638,0.89087,0.9431,0.71035,0.99338,0.56045,1.65883,2.6305e-05,2.6305e-05,2.6305e-05
76,10161.9,0.45974,0.2403,1.13189,0.92299,0.90003,0.9464,0.71174,0.99448,0.56477,1.66155,2.1677e-05,2.1677e-05,2.1677e-05
77,10295.2,0.46923,0.24325,1.13882,0.9273,0.89137,0.94612,0.71211,0.9913,0.55745,1.65918,1.78807e-05,1.78807e-05,1.78807e-05
78,10428.7,0.46972,0.24423,1.1361,0.92211,0.89486,0.94662,0.71129,0.98672,0.55627,1.65369,1.4922e-05,1.4922e-05,1.4922e-05
79,10562,0.46306,0.24347,1.13362,0.92583,0.8945,0.94621,0.71153,0.99042,0.55346,1.65403,1.28053e-05,1.28053e-05,1.28053e-05
80,10695,0.4686,0.24097,1.13554,0.92233,0.89791,0.9451,0.71284,0.98265,0.55129,1.64313,1.1534e-05,1.1534e-05,1.1534e-05
