epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2638.87,0.74206,0.56844,1.28444,0.91224,0.87487,0.9218,0.66629,1.07911,0.64265,1.69492,0.000220587,0.000220587,0.000220587
59,2684.4,0.73615,0.55793,1.28466,0.92533,0.8467,0.91999,0.67037,1.07646,0.65854,1.70325,0.000203894,0.000203894,0.000203894
60,2729.85,0.72538,0.56042,1.27815,0.93736,0.85266,0.93053,0.67581,1.0669,0.63409,1.67583,0.000187752,0.000187752,0.000187752
61,2775.43,0.71134,0.55331,1.26386,0.94021,0.84912,0.92182,0.68195,1.05592,0.6263,1.67079,0.000172185,0.000172185,0.000172185
62,2820.83,0.72126,0.55178,1.27481,0.93165,0.85798,0.92082,0.67527,1.04402,0.63221,1.65591,0.000157218,0.000157218,0.000157218
63,2866.35,0.71528,0.54426,1.26374,0.94706,0.85366,0.9265,0.67269,1.06513,0.64075,1.69944,0.000142874,0.000142874,0.000142874
64,2911.59,0.70038,0.53057,1.26224,0.89637,0.87986,0.92395,0.67421,1.05449,0.63284,1.67533,0.000129174,0.000129174,0.000129174
65,2957.07,0.70898,0.53562,1.25522,0.93823,0.85699,0.92614,0.67718,1.03889,0.624,1.66447,0.00011614,0.00011614,0.00011614
66,3002.61,0.70721,0.54013,1.26087,0.91509,0.89229,0.92931,0.68323,1.03459,0.61085,1.64861,0.000103792,0.000103792,0.000103792
67,3048.09,0.69991,0.53089,1.25837,0.90078,0.89083,0.9293,0.68079,1.04461,0.61654,1.67426,9.21498e-05,9.21498e-05,9.21498e-05
68,3093.66,0.71067,0.54282,1.25827,0.91815,0.88899,0.93037,0.67969,1.04876,0.62199,1.67112,8.12302e-05,8.12302e-05,8.12302e-05
69,3139.51,0.70565,0.52417,1.26077,0.91287,0.88071,0.93057,0.6868,1.04828,0.62632,1.68053,7.10504e-05,7.10504e-05,7.10504e-05
70,3185.27,0.69842,0.52147,1.25278,0.90469,0.87985,0.92715,0.68557,1.03817,0.62206,1.6742,6.16262e-05,6.16262e-05,6.16262e-05
71,3231.8,0.52494,0.30338,1.17237,0.93795,0.85943,0.92846,0.68745,1.03945,0.62694,1.67527,5.29721e-05,5.29721e-05,5.29721e-05
72,3277.1,0.51833,0.295,1.16564,0.92096,0.8868,0.93363,0.68669,1.04536,0.62586,1.68107,4.51014e-05,4.51014e-05,4.51014e-05
73,3322.44,0.51891,0.2938,1.16268,0.92031,0.88688,0.93123,0.68689,1.03667,0.62001,1.67525,3.80262e-05,3.80262e-05,3.80262e-05
74,3367.69,0.5151,0.29304,1.16429,0.92678,0.88099,0.93641,0.68718,1.04746,0.62064,1.68696,3.17576e-05,3.17576e-05,3.17576e-05
75,3412.92,0.51416,0.29343,1.16218,0.92436,0.88079,0.93425,0.68118,1.04848,0.62159,1.68926,2.6305e-05,2.6305e-05,2.6305e-05
76,3457.88,0.50366,0.28727,1.15678,0.9192,0.88114,0.93482,0.68136,1.05429,0.62432,1.69358,2.1677e-05,2.1677e-05,2.1677e-05
77,3502.99,0.51582,0.29217,1.16744,0.92392,0.8808,0.93476,0.68368,1.046,0.61465,1.68606,1.78807e-05,1.78807e-05,1.78807e-05
78,3548.07,0.51053,0.28809,1.15694,0.92016,0.88471,0.93494,0.68523,1.04805,0.61391,1.68657,1.4922e-05,1.4922e-05,1.4922e-05
79,3593.39,0.5072,0.28822,1.15661,0.9244,0.88354,0.93442,0.68755,1.03867,0.61502,1.67269,1.28053e-05,1.28053e-05,1.28053e-05
80,3638.76,0.51238,0.28662,1.16021,0.92593,0.88068,0.93561,0.68633,1.04062,0.61355,1.68123,1.1534e-05,1.1534e-05,1.1534e-05
